,Index,Word list,Present in div
659,963,['Do Not Sell or Share My Personal Information'],True
660,640,[],False
661,401,[],False
662,185,['Your Privacy Choices'],True
663,1054,"['Do Not Sell or Share My Personal Information', 'Do Not Sell My Info']",True
664,663,[],False
665,449,[],False
666,933,"['Do not sell my personal information', 'Do not sell my information']",True
667,454,['Do Not Sell My PI'],True
668,580,['Do not sell my information'],True
669,1077,['Do Not Sell My Personal Information'],True
670,706,"['Do Not Sell My InformationThis action will open modal dialog', 'Privacy Policy \xa0\xa0\xa0 | \xa0\xa0\xa0 Do Not Sell My InformationThis action will open modal dialog']",True
671,1006,['Do Not Sell My Personal Information'],True
672,856,['DO NOT SELL OR SHARE MY INFORMATION'],True
673,248,[],False
674,574,['Do Not Sell or Share My Personal Information'],True
675,1014,[],False
676,1046,['Do Not Sell or Share My Personal Information'],True
677,279,[],False
678,702,['Do Not Sell or Share My Personal Information'],True
679,823,"['Do Not Sell or Share My Personal Information', 'Do Not Sell or Share My Personal Information']",True
680,467,"['Do Not Sell or Share My Personal Information', 'Opt out']",True
681,665,['Do not sell or share my personal information'],True
682,431,[],False
683,1083,[],False
684,10,[],False
685,944,['Do Not Sell My Personal Information'],True
686,614,[],False
687,893,[],False
688,1063,['Do Not Sell or Share My Personal Information (CA residents only)'],True
689,89,[],False
690,261,['Do Not Sell'],True
691,700,[],False
692,941,[],True
693,820,['Do Not Sell or Share My Personal Information'],True
694,91,[],False
695,163,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights']",True
696,175,[],False
697,620,[],False
698,795,['Do Not Sell My Personal Information'],True
699,121,['Do Not Sell My Personal Information'],True
700,940,['Do Not Sell My Info'],True
701,220,[],False
702,138,[],False
703,730,[],False
704,634,[],False
705,875,[],True
706,229,[],True
707,778,[],False
708,214,[],False
709,628,['Do not sell or share my info'],True
710,492,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
711,1081,[],False
712,458,[],False
713,258,['Do not sell my personal information'],True
714,435,[],False
715,884,[],False
716,176,['Do not sell or share my personal information'],True
717,66,[],True
718,111,['Do Not Sell or Share My Personal Information'],True
719,880,"['Do Not Sell My PI', 'Do Not Sell My Personal Information']",True
720,733,['Do not sell my personal information'],True
721,430,[],False
722,930,[],False
723,200,[],False
724,852,"['Your Privacy Choices', 'You may opt out at any time', 'Your Opt Out Preference Signal is Honored', 'Opt Out of Sales, Sharing, and Targeted Advertising']",True
725,274,[],False
726,818,['Your Privacy Choices'],True
727,847,"['Do Not Sell or Share My Personal Information', 'Your Opt Out Preference Signal is Honored']",True
728,579,['Do Not Sell or Share My Personal Information'],True
729,78,['Do Not Sell or Share My Personal Information'],True
730,985,[],False
731,460,[],False
732,380,[],False
733,593,"['CA Do Not Sell/Share My Personal Information', 'Targeted Advertising Opt Out']",True
734,1009,[],False
735,955,[],False
736,474,[],True
737,781,[],False
738,526,[],True
739,576,['Do Not Sell My Personal Information'],True
740,1021,['Do Not Sell Or Share My Personal Information'],True
741,533,[],False
742,282,[],False
743,383,['Do Not Sell My Personal Information'],True
744,79,['Your Privacy Choices'],True
745,725,['Opt Out'],True
746,156,['Your Privacy Choice'],True
747,983,[],False
748,298,['Your Privacy Choices'],True
749,508,['Do Not Sell or Share My Personal Information'],True
750,710,"['Do Not Sell or Share My Personal Information', 'Opt Out of Third-Party Targeting Cookies']",True
751,543,[],False
752,241,[],False
753,551,['Do Not Sell My Personal Information'],True
754,102,['Do not sell my personal information'],True
755,741,[],False
756,132,['Do Not Sell My Info'],True
757,197,"['""Do Not Sell My Personal Information""']",True
758,264,[],False
759,457,[],False
760,328,[],False
761,240,[],False
762,684,['Your Privacy Choices'],True
763,729,[],False
764,293,['Do Not Sell My Information'],True
765,746,[],False
766,363,[],False
767,500,['Your Privacy Choices'],True
768,790,['Do Not Sell My Personal Information'],True
769,178,['Do not sell or share my personal information'],True
770,1049,['Do Not Sell or Share My Personal Information'],True
771,659,[],False
772,647,['Do not sell or share my personal information'],True
773,345,[],False
774,671,['Do not sell or share my personal information'],True
775,216,[],False
776,354,['Privacy / Do not sell my personal info'],True
777,902,[],False
778,106,"[""Don't Sell My Personal Information""]",True
779,938,[],False
780,581,['Do Not Sell or Share My Personal Information'],True
781,1053,[],False
