,Index,Word list
900,758,['Do Not Sell My Personal Information']
901,1015,['Do Not Sell or Share My Personal Information']
902,462,[]
903,837,['Do Not Sell Or Share My Personal Information']
904,646,['Your California Privacy Choices']
905,456,[]
906,784,['Do Not Sell My Data']
907,796,['Do Not Sell or Share My Information']
908,1037,['opt out of online behavioral advertising']
909,299,['Do Not Sell or Share My Personal Information / Personal Data Opt-out']
910,120,[]
911,242,[]
912,38,['Do not Sell or Share my personal information']
913,749,[]
914,19,['Do Not Sell My Information']
915,913,[]
916,481,['Do not sell or share my personal information']
917,1041,['Do Not Sell or Share My Personal Information']
918,388,[]
919,265,[]
920,791,['Do Not Sell or Share My Personal Information']
921,239,[]
922,90,[]
923,334,['Do Not Sell My Information']
924,49,[]
925,423,[]
926,936,[]
927,598,['Do Not Sell or Share My Personal Information']
928,183,[]
929,488,['Your Privacy Choices']
930,661,[]
931,935,[]
932,195,[]
933,52,['Do Not Sell My Personal Information']
934,942,['Do Not Sell My Personal Information']
935,80,['Do Not Sell or Share My Personal Information']
936,427,[]
937,1068,[]
938,1020,[]
939,911,[]
940,6,[]
941,966,['Your Privacy Choices']
942,604,[]
943,316,['Do Not Sell or Share My Personal Information / Personal Data Opt-out']
944,771,['Do not sell my personal information']
945,747,[]
946,105,[]
947,61,[]
948,123,[]
949,804,['Do Not Sell My Information']
950,690,['Do Not Sell My Info']
951,615,"['Do Not Share My Personal Information', 'submit a Do Not Share request']"
952,231,[]
953,319,['Do Not Sell My Personal Information']
954,308,[]
955,999,[]
956,962,['AdChoices / Do Not Sell My Info']
957,813,['Do Not Sell My Personal Information']
958,973,['Do Not Sell My Personal Information']
959,393,[]
960,861,[]
961,867,[]
962,617,[]
963,152,['Do Not Sell My Information']
964,330,[]
965,546,[]
966,127,[]
967,695,[]
968,606,[]
969,99,[]
970,238,['Do Not Sell']
971,193,[]
972,627,[]
973,846,[]
974,104,['Do Not Sell or Share My Personal Information']
975,609,[]
976,198,['Do Not Sell My Personal Information']
977,147,[]
978,667,['Do not sell my data']
979,477,[]
980,765,[]
981,871,['Do Not Sell My Personal Information']
982,713,[]
983,859,['Do not sell or share my personal information']
984,566,['Do Not Sell My Personal Information']
985,544,[' Your Privacy Choices ']
986,590,[]
987,1047,[]
988,587,[]
989,873,[]
990,1062,[]
991,753,[]
992,309,[]
993,428,[]
994,96,[]
995,772,[]
996,375,['California Customers Only: Do Not Sell My Info']
997,215,[' DO NOT SELL MY INFORMATION ']
998,860,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
999,128,[]
1000,915,[]
1001,906,[]
1002,409,[]
1003,416,[]
1004,515,[]
1005,1038,[]
1006,448,['Do not share objects or tools between workers without appropriately disinfecting them']
1007,343,['Your Ads Privacy Choices']
1008,553,"['                Do Not Sell My Personal Information', '                          Do Not Sell My Personal Information']"
1009,585,[]
1010,868,[]
1011,1005,[]
1012,322,[]
1013,639,[]
1014,103,[' Your Privacy Choices']
1015,600,[]
1016,814,['Manage Your Privacy Choices(Open in a new window)']
1017,948,[]
1018,381,['Do not sell or share my personal information']
1019,295,['Do Not Sell or Share My Personal Information']
1020,974,['Your Privacy Choices']
1021,45,[]
1022,793,[]
1023,379,[]
1024,521,[]
1025,896,['            Your California Privacy Choices']
1026,85,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
1027,177,['Do Not Sell/Share My Personal Information']
1028,927,[]
1029,36,['Do Not Share My Personal Information']
1030,719,"['Do Not Sell or Share My Info', 'Do Not Sell or Share My Personal Information']"
1031,575,[]
1032,14,[]
1033,471,[]
1034,1048,[]
1035,140,['Your Privacy Choices']
1036,361,[]
1037,484,[]
1038,498,['Do Not Sell My Personal Information']
1039,341,[]
1040,897,[]
1041,16,[]
1042,1067,[]
1043,157,[]
1044,525,['Your California Privacy Choices']
1045,73,[]
1046,139,[]
1047,754,[]
1048,563,[]
1049,554,['Do Not Sell or Share My Personal Information']
1050,153,[]
1051,336,[]
1052,919,['Do Not Sell Or Share My Information']
1053,27,[]
1054,406,[]
1055,269,['Do Not Sell My Personal Information']
1056,403,['Do Not Sell My Info']
1057,866,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
1058,424,[]
1059,125,[]
1060,415,[]
1061,143,[]
1062,745,['\t\t  Your Privacy Choices']
1063,291,[]
1064,674,['California: Do not Sell my Personal Info']
1065,497,[]
1066,17,['Do Not Sell My Information']
1067,149,['Submit an Opt Out Request']
1068,491,[]
1069,179,[' Do Not Sell or Share My Personal Information']
1070,557,['Do Not Sell My Personal Information']
1071,122,['For CA and VA Residents']
1072,738,['Do Not Sell or Share My Personal Information']
1073,444,['Do Not Sell My Info']
1074,826,['Do Not Sell or Share My Personal Information']
